# x	y	u	v	flags	mask
8.6925e+00	6.9934e+00	6.7282e-03	2.5384e-03	0.0000e+00	0.0000e+00
8.9101e+00	6.9934e+00	-7.5003e-03	-1.5423e-03	0.0000e+00	0.0000e+00
9.1276e+00	6.9934e+00	-1.5871e-02	-6.1686e-03	0.0000e+00	0.0000e+00
9.3452e+00	6.9934e+00	1.6134e-02	-2.6177e-03	0.0000e+00	0.0000e+00
9.5628e+00	6.9934e+00	2.2988e-03	-0.0000e+00	0.0000e+00	0.0000e+00
9.7804e+00	6.9934e+00	-1.9405e-03	-0.0000e+00	0.0000e+00	0.0000e+00
9.9979e+00	6.9934e+00	-1.5237e-02	-1.8333e-03	0.0000e+00	0.0000e+00
1.0215e+01	6.9934e+00	0.0000e+00	3.4889e-03	0.0000e+00	0.0000e+00
1.0433e+01	6.9934e+00	-1.2241e-03	-7.1067e-03	0.0000e+00	0.0000e+00
1.0651e+01	6.9934e+00	6.5245e-07	4.1189e-03	0.0000e+00	0.0000e+00
1.0868e+01	6.9934e+00	3.9898e-03	3.1298e-03	0.0000e+00	0.0000e+00
1.1086e+01	6.9934e+00	6.6578e-03	-1.2787e-03	0.0000e+00	0.0000e+00
1.1303e+01	6.9934e+00	2.2333e-03	1.4834e-03	0.0000e+00	0.0000e+00
1.1521e+01	6.9934e+00	7.3001e-03	-7.3131e-03	0.0000e+00	0.0000e+00
1.1738e+01	6.9934e+00	-3.4044e-08	1.9629e-03	0.0000e+00	0.0000e+00
1.1956e+01	6.9934e+00	5.6980e-03	-2.9250e-02	0.0000e+00	0.0000e+00
1.2174e+01	6.9934e+00	2.7115e-03	-0.0000e+00	0.0000e+00	0.0000e+00
1.2391e+01	6.9934e+00	-2.3429e-03	-0.0000e+00	0.0000e+00	0.0000e+00
1.2609e+01	6.9934e+00	-3.3658e-06	4.8920e-03	0.0000e+00	0.0000e+00
1.2826e+01	6.9934e+00	-3.6730e-03	3.6509e-03	0.0000e+00	0.0000e+00
1.3044e+01	6.9934e+00	-1.4581e-02	-4.5087e-03	0.0000e+00	0.0000e+00
2.0721e-01	6.7758e+00	-4.7015e-03	-7.2820e-04	0.0000e+00	0.0000e+00
4.2478e-01	6.7758e+00	9.2312e-04	-3.3323e-03	0.0000e+00	0.0000e+00
6.4235e-01	6.7758e+00	-3.0055e-03	-6.0866e-03	0.0000e+00	0.0000e+00
8.5993e-01	6.7758e+00	9.1488e-03	-3.8259e-03	0.0000e+00	0.0000e+00
1.0775e+00	6.7758e+00	-1.6581e-03	-1.7531e-03	0.0000e+00	0.0000e+00
1.2951e+00	6.7758e+00	1.0001e-02	-2.4210e-03	0.0000e+00	0.0000e+00
1.5126e+00	6.7758e+00	-3.5168e-03	-1.3164e-03	0.0000e+00	0.0000e+00
1.7302e+00	6.7758e+00	3.8493e-05	8.4487e-04	0.0000e+00	0.0000e+00
1.9478e+00	6.7758e+00	-2.2622e-03	1.1526e-03	0.0000e+00	0.0000e+00
2.1654e+00	6.7758e+00	2.7255e-03	-8.2757e-04	0.0000e+00	0.0000e+00
2.3829e+00	6.7758e+00	-1.9698e-02	4.7371e-03	0.0000e+00	0.0000e+00
2.6005e+00	6.7758e+00	2.4893e-03	-1.4452e-03	0.0000e+00	0.0000e+00
2.8181e+00	6.7758e+00	2.3032e-02	5.0892e-03	0.0000e+00	0.0000e+00
3.0356e+00	6.7758e+00	3.9196e-03	7.2438e-03	0.0000e+00	0.0000e+00
3.2532e+00	6.7758e+00	-2.5556e-02	1.7352e-03	0.0000e+00	0.0000e+00
