# x	y	u	v	flags	mask
4.2478e-01	6.7758e+00	1.9239e-02	-4.5754e-03	1.0000e+00	0.0000e+00
6.4235e-01	6.7758e+00	1.8988e-02	-3.6462e-03	1.0000e+00	0.0000e+00
8.5993e-01	6.7758e+00	1.8748e-02	-2.5849e-03	1.0000e+00	0.0000e+00
1.0775e+00	6.7758e+00	1.8327e-02	-6.4290e-04	1.0000e+00	0.0000e+00
1.2951e+00	6.7758e+00	1.7955e-02	1.6006e-03	1.0000e+00	0.0000e+00
1.5126e+00	6.7758e+00	1.7671e-02	4.0987e-03	1.0000e+00	0.0000e+00
1.7302e+00	6.7758e+00	1.7496e-02	6.7896e-03	1.0000e+00	0.0000e+00
1.9478e+00	6.7758e+00	1.7482e-02	9.4704e-03	1.0000e+00	0.0000e+00
2.1654e+00	6.7758e+00	1.7612e-02	1.2023e-02	1.0000e+00	0.0000e+00
2.3829e+00	6.7758e+00	1.7836e-02	1.4328e-02	1.0000e+00	0.0000e+00
2.6005e+00	6.7758e+00	1.8079e-02	1.6271e-02	1.0000e+00	0.0000e+00
2.8181e+00	6.7758e+00	1.8242e-02	1.7773e-02	1.0000e+00	0.0000e+00
3.0356e+00	6.7758e+00	1.8227e-02	1.8784e-02	1.0000e+00	0.0000e+00
3.2532e+00	6.7758e+00	1.7942e-02	1.9290e-02	1.0000e+00	0.0000e+00
3.4708e+00	6.7758e+00	1.7317e-02	1.9315e-02	1.0000e+00	0.0000e+00
3.6884e+00	6.7758e+00	1.6321e-02	1.8913e-02	1.0000e+00	0.0000e+00
3.9059e+00	6.7758e+00	1.4967e-02	1.8163e-02	1.0000e+00	0.0000e+00
4.1235e+00	6.7758e+00	1.3312e-02	1.7163e-02	1.0000e+00	0.0000e+00
4.3411e+00	6.7758e+00	1.1442e-02	1.6016e-02	1.0000e+00	0.0000e+00
4.5586e+00	6.7758e+00	9.4617e-03	1.4824e-02	1.0000e+00	0.0000e+00
4.7762e+00	6.7758e+00	7.4830e-03	1.3671e-02	1.0000e+00	0.0000e+00
4.9938e+00	6.7758e+00	5.6119e-03	1.2617e-02	1.0000e+00	0.0000e+00
5.2114e+00	6.7758e+00	3.9337e-03	1.1699e-02	1.0000e+00	0.0000e+00
5.4289e+00	6.7758e+00	2.5021e-03	1.0930e-02	1.0000e+00	0.0000e+00
5.6465e+00	6.7758e+00	1.3378e-03	1.0298e-02	1.0000e+00	0.0000e+00
5.8641e+00	6.7758e+00	4.3529e-04	9.7773e-03	1.0000e+00	0.0000e+00
6.0816e+00	6.7758e+00	-2.2923e-04	9.3287e-03	1.0000e+00	0.0000e+00
6.2992e+00	6.7758e+00	-6.9210e-04	8.9130e-03	1.0000e+00	0.0000e+00
6.5168e+00	6.7758e+00	-9.9542e-04	8.4956e-03	1.0000e+00	0.0000e+00
6.7344e+00	6.7758e+00	-1.1789e-03	8.0506e-03	1.0000e+00	0.0000e+00
6.9519e+00	6.7758e+00	-1.2741e-03	7.5632e-03	1.0000e+00	0.0000e+00
7.1695e+00	6.7758e+00	-1.3033e-03	7.0311e-03	1.0000e+00	0.0000e+00
7.3871e+00	6.7758e+00	-1.2826e-03	6.4646e-03	1.0000e+00	0.0000e+00
7.6046e+00	6.7758e+00	-1.2254e-03	5.8837e-03	1.0000e+00	0.0000e+00
7.8222e+00	6.7758e+00	-1.1446e-03	5.3149e-03	1.0000e+00	0.0000e+00
8.0398e+00	6.7758e+00	-1.0539e-03	4.7862e-03	1.0000e+00	0.0000e+00
8.2574e+00	6.7758e+00	-9.6875e-04	4.3242e-03	1.0000e+00	0.0000e+00
8.4749e+00	6.7758e+00	-9.0611e-04	3.9502e-03	1.0000e+00	0.0000e+00
8.6925e+00	6.7758e+00	-8.8333e-04	3.6788e-03	1.0000e+00	0.0000e+00
8.9101e+00	6.7758e+00	-9.1466e-04	3.5156e-03	1.0000e+00	0.0000e+00
9.1276e+00	6.7758e+00	-1.0082e-03	3.4567e-03	1.0000e+00	0.0000e+00
9.3452e+00	6.7758e+00	-1.1649e-03	3.4901e-03	1.0000e+00	0.0000e+00
9.5628e+00	6.7758e+00	-1.3792e-03	3.5978e-03	1.0000e+00	0.0000e+00
9.7804e+00	6.7758e+00	-1.6394e-03	3.7591e-03	1.0000e+00	0.0000e+00
9.9979e+00	6.7758e+00	-1.9300e-03	3.9529e-03	1.0000e+00	0.0000e+00
1.0215e+01	6.7758e+00	-2.2338e-03	4.1603e-03	1.0000e+00	0.0000e+00
1.0433e+01	6.7758e+00	-2.5349e-03	4.3663e-03	1.0000e+00	0.0000e+00
1.0651e+01	6.7758e+00	-2.8206e-03	4.5609e-03	1.0000e+00	0.0000e+00
1.0868e+01	6.7758e+00	-3.0829e-03	4.7396e-03	1.0000e+00	0.0000e+00
1.1086e+01	6.7758e+00	-3.3178e-03	4.9025e-03	1.0000e+00	0.0000e+00
1.1303e+01	6.7758e+00	-3.5242e-03	5.0513e-03	1.0000e+00	0.0000e+00
1.1521e+01	6.7758e+00	-3.7037e-03	5.1889e-03	1.0000e+00	0.0000e+00
1.1738e+01	6.7758e+00	-3.8590e-03	5.3180e-03	1.0000e+00	0.0000e+00
1.1956e+01	6.7758e+00	-3.9892e-03	5.4343e-03	1.0000e+00	0.0000e+00
1.2174e+01	6.7758e+00	-4.0981e-03	5.5399e-03	1.0000e+00	0.0000e+00
1.2391e+01	6.7758e+00	-4.1884e-03	5.6350e-03	1.0000e+00	0.0000e+00
1.2609e+01	6.7758e+00	-4.2367e-03	5.6866e-03	1.0000e+00	0.0000e+00
1.2826e+01	6.7758e+00	-4.2784e-03	5.7340e-03	1.0000e+00	0.0000e+00
1.3044e+01	6.7758e+00	-4.3127e-03	5.7749e-03	1.0000e+00	0.0000e+00
2.0721e-01	6.5582e+00	2.0278e-02	-5.4431e-03	1.0000e+00	0.0000e+00
4.2478e-01	6.5582e+00	2.0165e-02	-4.6867e-03	1.0000e+00	0.0000e+00
6.4235e-01	6.5582e+00	2.0072e-02	-3.7676e-03	1.0000e+00	0.0000e+00
8.5993e-01	6.5582e+00	2.0024e-02	-2.7157e-03	1.0000e+00	0.0000e+00
1.0775e+00	6.5582e+00	1.9961e-02	-7.8971e-04	1.0000e+00	0.0000e+00
1.2951e+00	6.5582e+00	2.0035e-02	1.4414e-03	1.0000e+00	0.0000e+00
1.5126e+00	6.5582e+00	2.0286e-02	3.9332e-03	1.0000e+00	0.0000e+00
1.7302e+00	6.5582e+00	2.0732e-02	6.6261e-03	1.0000e+00	0.0000e+00
1.9478e+00	6.5582e+00	2.1397e-02	9.3209e-03	1.0000e+00	0.0000e+00
2.1654e+00	6.5582e+00	2.2237e-02	1.1900e-02	1.0000e+00	0.0000e+00
2.3829e+00	6.5582e+00	2.3163e-02	1.4243e-02	1.0000e+00	0.0000e+00
2.6005e+00	6.5582e+00	2.4057e-02	1.6234e-02	1.0000e+00	0.0000e+00
2.8181e+00	6.5582e+00	2.4776e-02	1.7789e-02	1.0000e+00	0.0000e+00
3.0356e+00	6.5582e+00	2.5176e-02	1.8854e-02	1.0000e+00	0.0000e+00
3.2532e+00	6.5582e+00	2.5128e-02	1.9410e-02	1.0000e+00	0.0000e+00
3.4708e+00	6.5582e+00	2.4540e-02	1.9476e-02	1.0000e+00	0.0000e+00
3.6884e+00	6.5582e+00	2.3368e-02	1.9102e-02	1.0000e+00	0.0000e+00
3.9059e+00	6.5582e+00	2.1638e-02	1.8366e-02	1.0000e+00	0.0000e+00
4.1235e+00	6.5582e+00	1.9434e-02	1.7366e-02	1.0000e+00	0.0000e+00
4.3411e+00	6.5582e+00	1.6884e-02	1.6208e-02	1.0000e+00	0.0000e+00
4.5586e+00	6.5582e+00	1.4142e-02	1.4995e-02	1.0000e+00	0.0000e+00
4.7762e+00	6.5582e+00	1.1374e-02	1.3815e-02	1.0000e+00	0.0000e+00
